,split,total_images,spill_images,non_spill_images,spill_areas,failed_processing,spill_area_distribution,spill_ratio,imbalance_ratio,needs_balancing
train,train,811,757,54,"[95.46301118827161, 98.12442129629629, 98.22583912037037, 70.81954089506172, 74.51466049382715, 75.29475308641975, 76.90653935185185, 78.09919945987654, 82.59365354938272, 83.06177662037038, 83.18711419753086, 97.44116512345678, 83.36530671296296, 84.08482831790124, 83.875, 83.77411265432099, 83.33015046296296, 82.70177469135803, 83.12567515432099, 83.01157407407408, 98.42486496913581, 84.97776813271605, 86.30970293209876, 85.9369212962963, 87.19164737654322, 85.75482253086419, 84.73109567901234, 84.12852044753086, 84.59876543209876, 99.43909143518519, 85.12601273148148, 84.40263310185185, 83.90938464506172, 82.05994405864197, 81.64583333333333, 78.19613233024691, 98.7409336419753, 75.34268904320987, 73.87577160493827, 72.15277777777777, 69.11559606481481, 66.5339988425926, 98.8770736882716, 64.81114969135803, 63.71566358024692, 62.97815393518519, 59.573977623456784, 99.38295717592592, 59.86260609567901, 56.604456018518526, 55.13999807098765, 54.579619984567906, 98.58222415123457, 52.1589023919753, 50.03530092592593, 15.769820601851853, 15.739342206790125, 15.738377700617285, 15.63575424382716, 15.623939043209878, 15.648003472222221, 15.675443672839506, 15.4624324845679, 15.406201774691358, 15.179205246913579, 15.296874999999998, 15.041956018518517, 15.159625771604937, 34.31915509259259, 44.155960648148145, 98.51707175925925, 43.08154899691358, 29.38199266975309, 28.03877314814815, 34.199074074074076, 44.17616705246913, 97.62567515432099, 49.353105709876544, 49.21952160493827, 47.09124228395062, 47.65128279320987, 46.60151427469136, 45.60812114197531, 44.46826774691358, 45.16141010802469, 47.004822530864196, 44.743537808641975, 54.12827932098765, 55.54668209876543, 52.5693962191358, 98.49377893518519, 65.58063271604938, 74.67505787037037, 83.35175540123457, 83.6106288580247, 92.22395833333333, 92.91174768518519, 65.48027584876543, 70.68928433641976, 69.75096450617283, 68.17963332910536, 85.28438464506173, 76.06482142102148, 84.96761637493658, 32.16131365740741, 98.84767937172332, 99.1261574074074, 80.1235050154321, 77.78748890157281, 83.13107638888889, 77.29475176517842, 98.41020447530863, 81.7634548611111, 60.563172511838324, 63.32657518391679, 82.43798225308642, 66.5977507187553, 82.30738811728395, 69.78258313250466, 83.8462577160494, 98.57730516975309, 80.14519781625232, 86.2580536265432, 72.58216799847793, 68.48751559064773, 78.44931520061729, 77.34706548996914, 77.3413387345679, 78.56385030864197, 78.91921055169753, 98.66820987654322, 77.82540027006173, 79.60732542438271, 80.17156153549382, 77.22559799382715, 78.35015190972221, 78.20999710648148, 78.34502797067901, 79.37132282021605, 79.43642698688271, 80.6517047646605, 79.86171392746914, 82.61809172453704, 98.0535300925926, 83.60912181712963, 84.5558449074074, 81.2937041859568, 83.69050202546296, 84.85454041280865, 81.01550443672839, 97.93359375, 89.35004340277779, 89.2701702353395, 94.09631799768519, 94.7458526234568, 94.44986979166666, 94.73500192901234, 98.63879243827161, 98.38053385416666, 97.71321614583334, 97.09774064429013, 97.74667245370371, 97.11522231867285, 97.55829234182099, 98.47788869598766, 99.05207127700618, 99.16208526234568, 77.57734133873457, 98.7404152199074, 77.62707368827161, 97.85489004629629, 86.19038146219135, 84.42322530864197, 78.69014033564815, 66.08434606481481, 98.09307484567901, 98.13228202160494, 96.38213734567901, 94.61940586419753, 96.6604938271605, 96.12755594135803, 90.54682677469135, 45.9140625, 90.4285300925926, 91.32002314814814, 91.44854359567901, 98.37422839506172, 91.50959683641975, 90.89120370370371, 89.56037808641976, 90.80724344135803, 88.87514467592592, 92.36824845679013, 91.89183063271605, 91.87239583333333, 99.00226658950618, 92.04605516975309, 93.98789544753086, 93.39959490740742, 92.47685185185185, 97.86328125, 91.3543113425926, 87.13507908950618, 87.99807098765432, 89.47164351851852, 91.51109182098766, 98.55729166666667, 91.3151523919753, 90.32397762345678, 95.55946180555556, 98.24146412037037, 98.88811728395062, 98.01239390432099, 97.2550636574074, 95.20765817901234, 97.46696566358025, 96.52174961419753, 98.69854359567901, 98.43238811728395, 87.3329475308642, 95.6715374228395, 86.43885030864197, 90.13151041666667, 98.47275270061728, 88.06929976851852, 87.13401813271605, 88.88261959876543, 88.58926504629629, 92.3110050154321, 92.9985050154321, 94.77961033950618, 93.55174575617285, 98.69748263888889, 99.01094714506172, 97.953125, 96.40436921296296, 97.03886959876543, 98.70264274691358, 97.14978780864197, 97.87393904320987, 97.9230324074074, 99.05661651234567, 99.02686149691358, 99.08873456790124, 99.41724537037037, 99.00819830246913, 98.41849922839506, 99.04779128086419, 98.4832175925926, 98.66941550925927, 98.46088927469135, 98.44391396604938, 97.31462191358024, 98.95384837962963, 98.19020061728395, 96.79673032407408, 96.79369212962963, 98.48451967592592, 96.7602237654321, 10.769000771604938, 98.91092785493827, 49.963686342592595, 53.9789737654321, 54.37186535493828, 51.01548032407407, 48.434510030864196, 39.65152391975308, 35.141541280864196, 99.33781828703704, 27.459780092592595, 25.850549768518515, 27.050733024691358, 27.91825810185185, 25.297212577160494, 25.995756172839506, 24.934895833333336, 53.319974922839506, 50.501302083333336, 48.09293016975308, 2.033468364197531, 4.789834104938271, 28.937451774691358, 15.21629050925926, 99.2730999228395, 98.72984182098764, 55.99406828703704, 37.00863233024692, 98.11342592592592, 52.534432870370374, 51.63850308641975, 63.37393904320988, 63.50761959876543, 63.40620177469136, 98.76740933641976, 63.52334104938272, 63.52334104938272, 63.3776523919753, 83.37635030864197, 78.1021412037037, 77.97825038580247, 77.0442226080247, 78.05661651234568, 78.04957561728395, 98.49893904320987, 78.06944444444444, 77.8058449074074, 78.7244888117284, 78.4690875771605, 78.31775655864197, 97.76427469135803, 78.10619212962962, 78.5444637345679, 78.07908950617283, 70.24845679012346, 66.06539351851852, 30.30584490740741, 22.973958333333332, 97.99913194444444, 3.6432291666666665, 98.41435185185186, 44.593605324074076, 36.04808063271605, 35.51384066358025, 35.80328896604939, 42.86019483024691, 54.36902006172839, 58.758777006172835, 62.1667148919753, 98.64265046296296, 64.15952932098764, 81.66218171296296, 81.56553819444444, 82.04123263888889, 81.32132523148148, 81.5988136574074, 80.92838541666667, 81.67481674382717, 81.20606674382717, 98.24271797839506, 77.10657793209876, 73.64404899691358, 72.26003086419753, 68.5295138888889, 64.77039930555556, 58.820023148148145, 52.09230324074075, 40.7250675154321, 37.75270061728395, 38.04547646604938, 34.92915702160494, 24.612413194444443, 21.731143904320987, 98.42124807098766, 18.59919945987654, 15.896604938271604, 11.790316358024691, 6.27174961419753, 22.76982060185185, 97.42182677469135, 98.81573109567901, 98.71662808641976, 29.348717206790127, 97.03616898148148, 27.044753086419753, 20.07474922839506, 10.34548611111111, 13.259693287037036, 12.327498070987653, 9.806809413580247, 95.08661265432099, 18.91333912037037, 50.43571566358025, 50.33786651234568, 51.265335648148145, 50.421585648148145, 50.670862268518526, 51.27367862654321, 51.00217013888889, 50.8521412037037, 50.874324845679006, 52.467062114197525, 53.537326388888886, 52.82045717592593, 86.7592110339506, 54.18494405864197, 54.10686728395062, 55.071518132716044, 54.81910686728395, 70.29890046296296, 69.70973186728395, 69.75819830246913, 69.4170524691358, 69.09119405864197, 68.93735532407408, 68.94338348765432, 68.38122106481481, 68.40779320987654, 69.28978587962963, 68.51977237654322, 96.56032986111111, 67.87702546296296, 68.1105324074074, 67.39544753086419, 67.67259837962963, 66.90427276234568, 67.35744598765432, 67.20423418209876, 96.81573109567901, 66.85807291666667, 66.74358603395062, 67.67491319444444, 67.93547453703704, 67.91917438271605, 67.70896026234567, 70.05647183641976, 68.4822048611111, 96.52064043209877, 68.86631944444444, 65.14530285493827, 81.60300925925927, 70.83762538580247, 74.53853202160494, 75.65817901234568, 97.88975694444444, 73.55237268518519, 73.21672453703704, 73.85855516975309, 72.27001350308642, 77.15190972222223, 75.5158661265432, 72.11583719135803, 76.93663194444444, 73.31110146604938, 98.33854166666667, 79.71677276234568, 53.793451003086425, 53.593412422839506, 55.53264853395061, 55.34259259259259, 97.22603202160494, 50.133728780864196, 58.086660879629626, 58.26924189814815, 58.22829861111111, 99.34601658950616, 56.70963541666667, 56.98066165123456, 56.70056905864198, 56.01355131172839, 55.10484182098765, 54.68277391975309, 53.948109567901234, 52.93778935185185, 52.2583912037037, 51.97410300925925, 80.22632137345678, 51.04861111111111, 50.95081018518518, 50.6000675154321, 50.729359567901234, 49.81520061728395, 49.471113040123456, 47.94782021604938, 45.01702353395062, 44.1268325617284, 44.179832175925924, 44.21701388888889, 42.1166087962963, 40.68233989197531, 40.480324074074076, 40.293933256172835, 99.28337191358024, 40.00569058641975, 39.512056327160494, 38.52965856481482, 34.14674961419753, 34.00516010802469, 32.595100308641975, 99.35633680555556, 30.95823688271605, 30.710841049382715, 28.69208140432099, 28.563223379629633, 48.84085648148148, 48.72800925925926, 47.35542052469136, 43.21465084876544, 41.56288580246913, 40.292872299382715, 38.80680941358025, 37.68856095679013, 36.24913194444444, 34.74170524691358, 34.010754243827165, 31.317274305555554, 30.886766975308642, 32.67452739197531, 34.705488040123456, 36.22603202160494, 37.65817901234568, 37.2578125, 97.47241512345678, 36.623022762345684, 36.57990933641975, 36.32238618827161, 11.510127314814815, 11.783082561728394, 12.168499228395062, 97.79171489197532, 11.958429783950617, 12.078559027777777, 11.648485725308642, 45.72752700617284, 47.10353973765432, 48.48514660493827, 50.20982831790124, 51.83777006172839, 98.84866898148148, 46.67100694444444, 48.08179012345679, 48.66936728395061, 50.75670331790123, 51.34495563271605, 51.042052469135804, 49.499662422839506, 99.16276041666666, 49.11757330246914, 49.098765432098766, 49.69526427469136, 55.113811728395056, 49.43518518518519, 81.7827449845679, 99.23447145061728, 51.66054205246914, 51.39183063271605, 51.885995370370374, 51.07286844135802, 50.116222993827165, 50.38710455246913, 50.35296103395061, 50.66652199074074, 50.83222415123457, 56.29918981481481, 64.77314814814815, 66.09220679012346, 64.6448688271605, 99.13372878086419, 62.36713927469136, 62.92250192901234, 64.99286265432099, 68.71498842592592, 73.84206211419753, 75.6532600308642, 77.5339023919753, 78.59375, 98.9212962962963, 79.46802662037037, 82.0730613425926, 83.0026523919753, 83.11979166666667, 83.85151427469137, 83.2025462962963, 83.96175733024691, 84.39925733024691, 83.73128858024691, 83.96928047839506, 84.04788773148148, 84.90735918209876, 85.7421875, 87.09355709876543, 85.13117283950618, 84.84389467592592, 85.90133101851852, 85.7027874228395, 84.99527391975309, 85.48828125, 99.44068287037037, 18.979407793209877, 19.07976466049383, 18.14462770061728, 99.0934124228395, 68.8539737654321, 86.62572337962963, 78.80116705246914, 78.75390625, 99.34755979938271, 76.81078106502622, 88.95398629710371, 89.36338226515267, 89.16472078538587, 68.02670507630022, 64.29413528647818, 51.675925925925924, 52.36260609567901, 69.35194830246914, 75.18827160493828, 77.80926890432099, 77.6737075617284, 78.63493441358025, 80.20563271604938, 79.67009066358025, 90.09172453703704, 98.23157793209877, 27.88454861111111, 28.271412037037035, 28.412326388888886, 28.587528935185187, 29.65432098765432, 99.13122106481481, 30.266541280864196, 30.47000385802469, 30.48321759259259, 30.856770833333336, 29.777054398148152, 30.975597993827158, 99.13372878086419, 33.621817129629626, 35.02917631172839, 35.65354938271605, 65.29591049382717, 64.6938175154321, 98.8853202160494, 65.87099729938272, 66.70264274691358, 68.46484375, 70.77517361111111, 72.03457754629629, 72.02150848765432, 72.36964699074075, 72.33830054012346, 99.03655478395062, 73.04494598765432, 72.86723572530865, 77.86892361111111, 75.6793499228395, 74.17660108024691, 98.68311149691358, 73.19608410493828, 73.38179976851852, 73.28206983024691, 72.19241898148148, 71.0219425154321, 70.47169174382717, 69.41107253086419, 68.92274305555556, 69.14245756172839, 68.48186728395062, 65.2667824074074, 64.8488136574074, 63.820457175925924, 63.17259837962963, 62.73871527777778, 61.64467592592593, 61.69724151234568, 60.29374035493827, 59.97048611111111, 60.6595775462963, 60.092399691358025, 59.60344328703704, 59.99262152777778, 59.79277584876543, 59.21875, 59.57084297839506, 60.25438850308642, 59.94020061728394, 98.50795717592592, 59.79769483024692, 59.47096836419753, 59.90562307098766, 60.24151234567901, 60.60575810185185, 60.69425154320987, 60.404947916666664, 97.94656635802468, 98.85508294753086, 60.67226080246913, 59.70008680555555, 59.90653935185185, 59.77647569444444, 59.26972415123457, 60.50554591049383, 97.6908275462963, 60.081741898148145, 60.33039158950617, 60.18108603395061, 60.002797067901234, 56.98524305555556, 57.123794367283956, 57.94666280864198, 97.8972800925926, 58.31925154320987, 58.170524691358025, 59.22458526234568, 60.5210262345679, 61.07098765432099, 61.45177469135803, 97.95997299382717, 62.17934992283951, 62.84746334876543, 63.41632908950617, 63.945216049382715, 64.68619791666667, 64.09770447530863, 64.58063271604938, 98.3199749228395, 64.54648919753086, 63.907600308641975, 64.17988040123457, 66.1183449074074, 64.48263888888889, 64.41425540123457, 64.01384066358024, 98.02570408950618, 63.53105709876543, 63.410252700617285, 62.66719714506173, 61.77555941358025, 60.50810185185185, 97.67631172839506, 59.273967978395056, 59.48249421296297, 58.47482638888889, 58.416666666666664, 58.12659143518518, 57.71711033950617, 58.713927469135804, 57.916859567901234, 58.1364776234568, 58.19347993827161, 57.984664351851855, 57.33506944444444, 57.438994984567906, 57.92332175925926, 56.582995756172835, 56.511622299382715, 56.17409336419753, 97.63893711419753, 56.044704861111114, 56.45129243827161, 55.717640817901234, 54.94266010802469, 54.22246334876544, 53.692901234567906, 52.82527970679012, 38.94246720679012, 36.23929398148148, 33.57489390432099, 28.650607638888886, 97.07648533950616, 67.84664351851852, 97.52113474151236, 94.43086902006172, 98.56931182484568, 97.05929301697532, 95.19780815972221, 97.54229359567901, 87.76180314429011]",0,"{'tiny': 0, 'small': 3, 'medium': 13, 'large': 741}",0.9334155363748459,14.018518518518519,True
val,val,203,190,13,"[84.35831404320989, 83.26822916666666, 82.80025077160494, 82.24498456790124, 70.33444251543209, 62.644386574074076, 61.16936728395061, 60.662326388888886, 58.40398341049383, 53.99778163580247, 52.53742283950618, 50.337143132716044, 50.14163773148148, 15.771315586419753, 99.28689236111111, 15.514226466049383, 15.562162422839506, 31.15113811728395, 41.367042824074076, 45.464747299382715, 44.2280574845679, 23.238908179012345, 37.73186728395061, 48.890335648148145, 46.457320601851855, 48.55897955246913, 49.14414544753086, 49.25168788580247, 54.379388503086425, 73.12355324074075, 91.18614969135803, 97.01702353395062, 58.649843300777945, 91.13059413580247, 80.03477044753086, 87.20334168357854, 88.22851925841366, 97.97617669753086, 78.1418788580247, 77.78018904320987, 79.19017650462963, 79.07383294753086, 78.2494815779321, 98.87794174382717, 97.69738618827161, 84.2336395640432, 88.17033179012346, 88.14139660493827, 95.0388213734568, 97.46274594907408, 97.29968412422839, 98.04542824074073, 92.96844859182099, 81.88777970679013, 66.28598813657408, 91.6066864390432, 97.87205825617285, 95.73967978395062, 96.65673225308642, 89.93233989197532, 91.55304783950618, 93.3846450617284, 93.87138310185185, 92.46778549382717, 91.2027874228395, 96.0483699845679, 98.9035011574074, 98.56669560185185, 95.92959104938271, 98.9841338734568, 98.80497685185186, 98.4711612654321, 42.35223765432099, 8.847849151234568, 9.901427469135802, 8.958043981481481, 7.2968267746913575, 48.09355709876543, 63.12702546296296, 78.12977430555556, 77.95018325617285, 78.10165895061728, 78.55695408950616, 78.34760802469137, 68.97135416666667, 18.35985725308642, 46.50212191358025, 81.54075038580247, 81.17539544753086, 81.46166087962963, 81.55179398148148, 98.70172646604938, 81.51572145061728, 80.79832175925927, 81.32310956790123, 98.28356481481481, 38.03178047839506, 11.220871913580247, 97.59090470679013, 99.31312692901234, 10.678867669753087, 8.901765046296296, 12.165605709876544, 51.50024112654321, 98.19974922839506, 51.9438175154321, 53.235532407407405, 55.316550925925924, 52.900559413580254, 97.68870563271605, 97.78751929012346, 68.00641396604938, 68.64588155864197, 68.02555941358025, 69.82880015432099, 82.54277584876544, 55.488618827160494, 55.32402584876544, 55.275655864197525, 57.39149305555556, 57.265673225308646, 56.95616319444444, 57.004436728395056, 57.028645833333336, 56.33019868827161, 54.49778163580247, 50.66097608024691, 44.50983796296296, 36.66902970679013, 35.35218942901235, 34.249035493827165, 33.694347993827165, 28.662712191358025, 28.803433641975307, 28.53009259259259, 48.0865162037037, 47.78645833333333, 45.10894097222222, 99.07383294753086, 36.54591049382716, 46.091001157407405, 49.22492283950618, 46.23750964506173, 49.46460262345679, 49.89737654320987, 64.7066936728395, 62.21397569444444, 63.15055941358024, 84.75578703703704, 84.84635416666667, 99.43315972222221, 22.409384645061728, 19.099537037037038, 86.4077449845679, 69.07590663580247, 27.729021990740744, 28.87548225308642, 29.61014660493827, 29.92404513888889, 30.416907793209873, 31.0405574845679, 32.188994984567906, 32.786506558641975, 33.54007523148148, 76.94391396604938, 97.66801697530865, 66.3620273919753, 65.56380208333333, 97.30801504629629, 62.47516396604939, 98.20307677469135, 59.93918788580247, 60.471113040123456, 60.13575424382716, 59.73398919753087, 60.23008294753086, 57.164834104938265, 58.55955825617284, 64.07773919753087, 64.13141396604938, 64.5625, 64.98466435185185, 63.112750771604944, 59.77300347222222, 59.027488425925924, 97.94212962962962, 56.21527777777777, 54.70587384259259, 97.7878086419753, 98.46766493055556]",0,"{'tiny': 0, 'small': 0, 'medium': 8, 'large': 182}",0.9359605911330049,14.615384615384615,True
test,test,254,236,18,"[83.08863811728395, 83.22337962962963, 86.23157793209877, 85.83497299382717, 79.57291666666667, 78.40277777777777, 73.08101851851852, 70.49541859567901, 68.1685474537037, 66.63536844135803, 65.28713348765433, 61.936583719135804, 61.19077932098765, 59.68504050925926, 53.28568672839506, 52.72352430555556, 51.34601658950617, 15.750819830246915, 15.739342206790125, 98.3855613425926, 36.552131558641975, 43.74054783950617, 97.45240162037037, 46.3990162037037, 45.94391396604938, 98.26195987654322, 48.699556327160494, 52.9600212191358, 92.48731674382717, 91.9750675154321, 72.45201581790124, 98.48572530864197, 95.33502121913581, 78.47963438609843, 82.1185860339506, 87.40301890432099, 77.70430354726872, 85.4215374228395, 71.19937663833925, 78.40139130015432, 78.00081983024691, 78.32332658179013, 80.0217616705247, 79.62782118055556, 79.39754533179013, 81.0007354359568, 82.45201581790124, 84.29603105709876, 81.85191213348766, 83.62901475694444, 78.0222198109568, 95.08011429398148, 91.04456018518519, 95.28657889660494, 97.6294246720679, 65.07191599151234, 68.5941719714506, 98.08429783950618, 97.15282600308642, 96.14424189814815, 96.28178047839506, 94.86863425925925, 92.92587770061729, 98.40967399691358, 89.29287229938272, 92.27628279320987, 91.30145640432099, 90.64414544753086, 91.82489390432099, 92.42182677469137, 92.85503472222221, 89.68909143518519, 93.50414737654322, 90.36680169753086, 91.29566936728395, 90.35325038580247, 90.64911265432099, 95.87543402777777, 98.90340470679013, 97.21643518518519, 87.5993923611111, 89.21899112654322, 98.92587770061728, 98.87037037037038, 91.84871720679013, 97.48046875, 99.32855902777777, 98.23654513888889, 97.25125385802468, 98.01707175925925, 98.46383101851852, 48.3833912037037, 48.85382908950617, 60.93190586419753, 35.9789737654321, 23.962239583333332, 99.34987461419753, 4.240210262345679, 98.60927854938272, 52.82851080246913, 62.66488233024692, 64.00313464506173, 63.31322337962963, 78.37379436728395, 32.70616319444444, 14.776957947530864, 10.196662808641975, 6.812934027777779, 4.314091435185185, 5.025462962962963, 38.12625385802469, 48.31814236111111, 63.367476851851855, 81.36400462962963, 81.69420331790124, 81.12905092592592, 72.40350115740742, 65.7620563271605, 48.48263888888889, 46.17332175925926, 39.85985725308642, 27.94362461419753, 97.11665702160494, 8.592255015432098, 18.019675925925927, 13.65012538580247, 97.73374807098766, 51.6619888117284, 53.799093364197525, 53.04783950617284, 53.88498263888889, 54.94796489197531, 69.74681712962963, 68.55589313271605, 69.15253665123457, 68.9849537037037, 81.22608024691358, 68.73702739197532, 78.62205825617285, 79.04460841049382, 57.55135995370371, 55.89004629629629, 49.441550925925924, 57.98967978395062, 57.48259066358025, 56.12972608024691, 99.38401813271605, 53.38850308641976, 53.32875192901234, 52.68774112654321, 51.5433063271605, 98.75998263888889, 50.29089506172839, 99.24141589506172, 45.34085648148148, 40.98789544753087, 48.8587962962963, 99.34755979938271, 36.595052083333336, 36.52387152777778, 36.34601658950618, 11.91483410493827, 51.029899691358025, 50.75390625, 48.59143518518518, 49.23249421296296, 48.18050733024691, 49.21937692901235, 50.86983989197531, 99.35633680555556, 50.6986400462963, 66.52599344135803, 66.40253665123457, 67.54701967592592, 99.34755979938271, 84.77165316358025, 86.34085648148148, 84.69767554012346, 85.00959683641976, 86.04123263888889, 85.92843364197532, 84.35604745370371, 84.70191936728395, 18.973283179012345, 19.025511188271604, 69.12384259259258, 82.32770352401488, 62.08632330246914, 64.53747304667682, 61.10633680555555, 68.87331211419753, 98.2475887345679, 70.08289930555556, 79.75472608024691, 80.50024112654322, 28.527488425925924, 30.614631558641975, 32.07711226851852, 36.073495370370374, 64.80391589506172, 69.32513503086419, 72.36419753086419, 72.33926504629629, 72.2836612654321, 78.30459104938272, 74.4309413580247, 69.80979938271605, 69.52546296296296, 67.72463348765432, 66.51634837962963, 60.812837577160494, 60.59592013888889, 60.93296682098766, 60.176697530864196, 59.88840663580247, 60.41454475308642, 60.02329282407407, 60.161361882716044, 57.7866512345679, 59.59702932098765, 61.00221836419754, 61.12422839506173, 64.29865933641975, 66.3513213734568, 63.90948109567901, 61.36135223765432, 60.16276041666667, 59.03858024691358, 58.28284143518518, 22.323832947530864, 97.703125, 3.2570891203703702, 0.2547743055555556, 91.05952208719135, 97.09401523919753, 92.95660927854938]",0,"{'tiny': 1, 'small': 3, 'medium': 7, 'large': 225}",0.9291338582677166,13.11111111111111,True
