,split,total_images,successful_processing,failed_processing,spill_images,non_spill_images,avg_spill_area,spill_areas
train,train,811,811,0,757,54,67.6717538972197,"[95.3521728515625, 98.49700927734375, 98.419189453125, 70.8740234375, 74.64599609375, 75.37994384765625, 76.9256591796875, 78.2135009765625, 82.8826904296875, 83.06427001953125, 83.09173583984375, 97.6165771484375, 83.3526611328125, 83.990478515625, 84.01641845703125, 83.892822265625, 83.294677734375, 82.281494140625, 82.99102783203125, 82.85064697265625, 98.38104248046875, 85.11962890625, 86.42730712890625, 85.91461181640625, 87.23907470703125, 85.7421875, 84.54742431640625, 83.9019775390625, 84.39788818359375, 99.64141845703125, 85.03875732421875, 84.41619873046875, 83.935546875, 82.33184814453125, 81.5643310546875, 78.41949462890625, 98.78692626953125, 75.1953125, 73.99139404296875, 72.15423583984375, 69.1314697265625, 66.51458740234375, 98.83880615234375, 64.8590087890625, 63.8153076171875, 63.03558349609375, 59.5855712890625, 99.32861328125, 59.8602294921875, 56.6650390625, 55.14068603515625, 54.473876953125, 98.61602783203125, 52.08892822265625, 49.755859375, 15.9454345703125, 15.7928466796875, 15.61126708984375, 15.6951904296875, 15.655517578125, 15.7928466796875, 15.679931640625, 15.62652587890625, 15.59906005859375, 15.39154052734375, 15.4998779296875, 15.240478515625, 15.33050537109375, 34.38720703125, 44.23980712890625, 98.75030517578125, 43.01605224609375, 29.33502197265625, 27.91900634765625, 34.16900634765625, 44.085693359375, 97.5860595703125, 49.261474609375, 49.29656982421875, 47.1221923828125, 47.79510498046875, 46.38671875, 45.61309814453125, 44.54498291015625, 45.1751708984375, 46.8536376953125, 44.67010498046875, 54.05731201171875, 55.450439453125, 52.6397705078125, 98.388671875, 65.6402587890625, 74.74822998046875, 83.2977294921875, 83.28094482421875, 92.14324951171875, 92.78411865234375, 65.4449462890625, 70.849609375, 69.71435546875, 68.0419921875, 85.2142333984375, 76.21307373046875, 84.88311767578125, 32.025146484375, 98.748779296875, 99.0936279296875, 80.04150390625, 77.82135009765625, 83.18023681640625, 77.08892822265625, 98.59771728515625, 81.90460205078125, 60.29052734375, 63.27056884765625, 82.40203857421875, 66.68548583984375, 82.2967529296875, 69.63958740234375, 83.807373046875, 98.5504150390625, 79.8919677734375, 86.199951171875, 72.674560546875, 68.4356689453125, 78.52325439453125, 77.1728515625, 77.38800048828125, 78.79791259765625, 79.04052734375, 98.687744140625, 78.11431884765625, 79.70733642578125, 80.22613525390625, 77.178955078125, 78.29742431640625, 78.50494384765625, 78.4149169921875, 79.46929931640625, 79.29840087890625, 80.71136474609375, 79.852294921875, 82.5958251953125, 98.1475830078125, 83.77227783203125, 84.5977783203125, 81.3446044921875, 83.7371826171875, 85.0341796875, 81.06536865234375, 98.248291015625, 89.434814453125, 89.2303466796875, 94.03076171875, 94.74334716796875, 94.57855224609375, 94.75250244140625, 98.583984375, 98.36273193359375, 97.61962890625, 97.17254638671875, 98.0712890625, 97.07489013671875, 97.46246337890625, 98.6297607421875, 99.04632568359375, 99.29351806640625, 77.74810791015625, 98.8067626953125, 77.7374267578125, 97.77984619140625, 86.29608154296875, 84.4970703125, 78.7628173828125, 66.11328125, 98.0255126953125, 98.11859130859375, 96.6033935546875, 94.35882568359375, 96.64459228515625, 96.3043212890625, 90.6341552734375, 45.843505859375, 90.435791015625, 91.20635986328125, 91.51458740234375, 98.6572265625, 91.45660400390625, 90.7623291015625, 89.5751953125, 91.06597900390625, 88.96026611328125, 92.38128662109375, 91.92352294921875, 91.9342041015625, 99.15924072265625, 92.3431396484375, 94.02923583984375, 93.37921142578125, 92.44842529296875, 98.19183349609375, 91.48101806640625, 87.078857421875, 88.28582763671875, 89.42413330078125, 91.3726806640625, 98.73199462890625, 91.22467041015625, 90.3228759765625, 95.4254150390625, 98.3306884765625, 98.797607421875, 98.3612060546875, 97.222900390625, 95.19195556640625, 97.89581298828125, 96.4263916015625, 98.61297607421875, 98.541259765625, 87.24212646484375, 95.86639404296875, 86.30218505859375, 90.1611328125, 98.4893798828125, 88.26446533203125, 87.01629638671875, 89.01214599609375, 88.787841796875, 92.5079345703125, 92.96875, 94.72503662109375, 93.65386962890625, 98.828125, 99.03411865234375, 98.09722900390625, 96.47064208984375, 97.25189208984375, 98.6297607421875, 97.10540771484375, 97.84088134765625, 97.99957275390625, 98.93646240234375, 98.9349365234375, 98.8311767578125, 99.4720458984375, 99.21875, 98.48175048828125, 98.93646240234375, 98.5626220703125, 98.8311767578125, 98.3734130859375, 98.675537109375, 97.58148193359375, 98.95172119140625, 98.101806640625, 96.6461181640625, 96.91009521484375, 98.52752685546875, 96.8658447265625, 10.7574462890625, 98.968505859375, 50.0213623046875, 54.1900634765625, 54.43267822265625, 51.2451171875, 48.712158203125, 39.93988037109375, 35.23101806640625, 99.6795654296875, 27.64739990234375, 25.74462890625, 27.227783203125, 28.07769775390625, 25.40130615234375, 26.16424560546875, 25.01068115234375, 53.40728759765625, 50.6866455078125, 48.3795166015625, 1.97906494140625, 4.8095703125, 29.02984619140625, 15.3717041015625, 99.37744140625, 98.91815185546875, 55.9051513671875, 37.0269775390625, 97.88818359375, 52.471923828125, 51.8402099609375, 63.4918212890625, 63.81378173828125, 63.68408203125, 98.8250732421875, 63.6016845703125, 63.6016845703125, 63.56658935546875, 83.35418701171875, 78.1463623046875, 78.04107666015625, 77.4658203125, 78.11431884765625, 78.2073974609375, 98.57025146484375, 78.4423828125, 78.167724609375, 78.77197265625, 78.79791259765625, 78.32794189453125, 97.99346923828125, 78.26385498046875, 78.86962890625, 78.3050537109375, 70.49560546875, 66.412353515625, 30.4412841796875, 23.1964111328125, 97.87139892578125, 3.8360595703125, 98.52294921875, 44.586181640625, 36.065673828125, 35.49652099609375, 35.87646484375, 42.87261962890625, 54.4921875, 58.89129638671875, 62.3809814453125, 98.77166748046875, 64.19677734375, 81.927490234375, 81.79931640625, 81.89697265625, 81.5277099609375, 81.7474365234375, 81.060791015625, 81.62841796875, 81.33697509765625, 98.431396484375, 77.1026611328125, 73.91510009765625, 72.6165771484375, 68.83087158203125, 64.959716796875, 59.12017822265625, 52.203369140625, 40.9393310546875, 37.99896240234375, 38.275146484375, 35.12420654296875, 24.7344970703125, 21.826171875, 98.4527587890625, 18.58978271484375, 16.107177734375, 11.87591552734375, 6.4300537109375, 22.96142578125, 97.7691650390625, 98.83575439453125, 98.84185791015625, 29.3670654296875, 96.95587158203125, 27.03857421875, 20.05157470703125, 10.33782958984375, 13.26751708984375, 12.34588623046875, 9.81292724609375, 95.07598876953125, 18.93157958984375, 50.6805419921875, 50.62713623046875, 51.4495849609375, 50.56610107421875, 50.92315673828125, 51.42974853515625, 51.18865966796875, 51.1077880859375, 50.92010498046875, 52.58331298828125, 53.63311767578125, 53.057861328125, 86.6180419921875, 54.21142578125, 54.06951904296875, 55.2337646484375, 55.0201416015625, 70.37506103515625, 69.818115234375, 69.75555419921875, 69.05517578125, 69.18487548828125, 69.0673828125, 69.19708251953125, 68.80340576171875, 68.63250732421875, 69.15435791015625, 68.47381591796875, 96.62628173828125, 67.767333984375, 68.2159423828125, 67.21038818359375, 67.681884765625, 67.10357666015625, 67.50640869140625, 67.05322265625, 97.1435546875, 66.7633056640625, 66.77093505859375, 67.767333984375, 68.00994873046875, 68.2861328125, 67.8253173828125, 70.0164794921875, 68.52569580078125, 96.73614501953125, 69.2047119140625, 65.0238037109375, 81.689453125, 70.819091796875, 74.45220947265625, 75.64697265625, 97.92022705078125, 73.64349365234375, 73.08197021484375, 73.75640869140625, 72.52349853515625, 77.18963623046875, 75.54931640625, 71.91314697265625, 76.947021484375, 73.25897216796875, 98.27880859375, 79.6417236328125, 53.87115478515625, 53.7200927734375, 55.780029296875, 55.53741455078125, 97.30377197265625, 50.115966796875, 57.91015625, 58.17413330078125, 58.05206298828125, 99.60479736328125, 56.7169189453125, 56.9183349609375, 56.80694580078125, 56.06842041015625, 55.24139404296875, 54.9285888671875, 54.052734375, 53.228759765625, 52.06451416015625, 51.678466796875, 80.3741455078125, 51.07421875, 50.97503662109375, 50.41046142578125, 50.6683349609375, 49.94354248046875, 49.15313720703125, 47.85919189453125, 45.04547119140625, 43.865966796875, 44.09027099609375, 44.23370361328125, 42.1875, 40.72723388671875, 40.59906005859375, 40.37322998046875, 99.22027587890625, 40.08026123046875, 39.7308349609375, 38.6962890625, 34.33685302734375, 34.11865234375, 32.5927734375, 99.22027587890625, 31.1553955078125, 30.87310791015625, 28.71246337890625, 28.6163330078125, 48.66180419921875, 48.66485595703125, 47.509765625, 43.52569580078125, 41.73736572265625, 40.61279296875, 39.0411376953125, 38.0035400390625, 36.639404296875, 34.96246337890625, 34.37042236328125, 31.39495849609375, 31.005859375, 32.70721435546875, 34.82818603515625, 36.34033203125, 37.66021728515625, 37.5091552734375, 97.3663330078125, 36.57684326171875, 36.474609375, 36.309814453125, 11.4715576171875, 11.6363525390625, 12.0697021484375, 97.9736328125, 11.8377685546875, 12.14599609375, 11.49749755859375, 45.67108154296875, 47.25341796875, 48.29559326171875, 50.34637451171875, 52.03704833984375, 98.94256591796875, 46.88720703125, 48.11859130859375, 48.83880615234375, 50.885009765625, 51.1322021484375, 51.06964111328125, 49.40643310546875, 99.31793212890625, 49.0631103515625, 49.1546630859375, 49.6185302734375, 55.3253173828125, 49.23248291015625, 82.00836181640625, 98.8311767578125, 51.38397216796875, 51.23748779296875, 51.5899658203125, 50.97198486328125, 49.810791015625, 50.25634765625, 50.37078857421875, 50.5462646484375, 50.5889892578125, 56.37969970703125, 64.84375, 66.1895751953125, 64.60418701171875, 99.22027587890625, 62.6007080078125, 62.835693359375, 65.12603759765625, 68.77288818359375, 73.92120361328125, 75.68359375, 77.50701904296875, 78.6468505859375, 99.151611328125, 79.73480224609375, 82.09686279296875, 83.319091796875, 83.428955078125, 83.94622802734375, 83.40606689453125, 83.758544921875, 84.283447265625, 83.94927978515625, 84.17816162109375, 84.063720703125, 84.98077392578125, 86.05499267578125, 87.30010986328125, 85.2264404296875, 84.991455078125, 85.8734130859375, 85.92987060546875, 85.09674072265625, 85.3485107421875, 99.54986572265625, 19.07501220703125, 19.091796875, 18.28765869140625, 98.8311767578125, 69.06280517578125, 86.51275634765625, 78.875732421875, 78.87725830078125, 99.41558837890625, 76.531982421875, 88.82293701171875, 89.520263671875, 89.0869140625, 68.16253662109375, 64.17388916015625, 51.519775390625, 52.4688720703125, 69.13299560546875, 75.0732421875, 77.8472900390625, 77.65350341796875, 78.7261962890625, 80.20782470703125, 79.67681884765625, 90.16571044921875, 98.6541748046875, 27.89306640625, 28.1890869140625, 28.30657958984375, 28.594970703125, 29.64630126953125, 99.10888671875, 30.1361083984375, 30.40771484375, 30.41534423828125, 30.7830810546875, 29.71649169921875, 30.8197021484375, 99.22027587890625, 33.50677490234375, 34.95025634765625, 35.61553955078125, 65.22979736328125, 64.935302734375, 98.8311767578125, 65.88287353515625, 66.6412353515625, 68.43719482421875, 70.758056640625, 72.06268310546875, 72.04132080078125, 72.2015380859375, 72.39837646484375, 99.0447998046875, 73.21624755859375, 72.967529296875, 77.9052734375, 75.634765625, 74.21112060546875, 98.44207763671875, 72.87445068359375, 73.236083984375, 73.30474853515625, 71.99249267578125, 70.92437744140625, 70.49560546875, 69.51141357421875, 68.9910888671875, 69.287109375, 68.43719482421875, 65.33660888671875, 65.1458740234375, 64.02587890625, 63.409423828125, 62.69683837890625, 61.6455078125, 61.9842529296875, 60.4278564453125, 59.857177734375, 60.5926513671875, 60.22186279296875, 59.3658447265625, 59.9395751953125, 59.9853515625, 59.4085693359375, 59.61761474609375, 60.38055419921875, 59.88922119140625, 98.77777099609375, 59.8876953125, 59.344482421875, 59.7503662109375, 60.369873046875, 60.74981689453125, 60.83984375, 60.42327880859375, 97.88665771484375, 98.8372802734375, 60.90545654296875, 59.44976806640625, 59.796142578125, 59.88006591796875, 59.42535400390625, 60.65673828125, 97.6593017578125, 60.028076171875, 60.4339599609375, 59.95635986328125, 59.69696044921875, 56.98394775390625, 57.1746826171875, 57.72247314453125, 97.94464111328125, 58.441162109375, 58.20159912109375, 59.04083251953125, 60.8001708984375, 60.95428466796875, 61.37237548828125, 98.2696533203125, 62.1826171875, 62.80517578125, 63.56964111328125, 64.08233642578125, 64.64996337890625, 64.11285400390625, 64.7674560546875, 98.47869873046875, 64.3402099609375, 63.92974853515625, 64.3524169921875, 66.15142822265625, 64.51416015625, 64.26239013671875, 63.88092041015625, 97.95989990234375, 63.5101318359375, 63.323974609375, 62.69073486328125, 61.90032958984375, 60.345458984375, 97.42584228515625, 58.97979736328125, 59.44671630859375, 58.599853515625, 58.33282470703125, 58.13751220703125, 57.69195556640625, 58.8470458984375, 58.01239013671875, 58.05511474609375, 58.39385986328125, 58.06121826171875, 57.3822021484375, 57.60650634765625, 57.89794921875, 56.7047119140625, 56.65130615234375, 55.96771240234375, 97.48382568359375, 56.121826171875, 56.51702880859375, 55.86090087890625, 55.1544189453125, 54.35028076171875, 53.83758544921875, 52.8472900390625, 38.75885009765625, 36.16790771484375, 33.51287841796875, 28.515625, 97.15728759765625, 67.81768798828125, 97.6409912109375, 94.329833984375, 98.42071533203125, 97.076416015625, 95.18280029296875, 97.77984619140625, 87.9425048828125]"
val,val,203,203,0,190,13,64.3667923776727,"[84.50469970703125, 83.380126953125, 82.794189453125, 82.38067626953125, 70.52154541015625, 62.664794921875, 61.47918701171875, 60.77728271484375, 58.2489013671875, 53.97796630859375, 52.4444580078125, 50.12969970703125, 50.07171630859375, 15.93780517578125, 99.24774169921875, 15.66925048828125, 15.75775146484375, 31.21185302734375, 41.4794921875, 45.55816650390625, 44.29931640625, 23.2574462890625, 37.5518798828125, 48.89373779296875, 46.337890625, 48.54278564453125, 49.42474365234375, 49.261474609375, 54.2266845703125, 73.15673828125, 91.32080078125, 96.95587158203125, 58.65936279296875, 91.07208251953125, 79.99267578125, 87.506103515625, 88.14239501953125, 97.88665771484375, 78.24859619140625, 77.83203125, 79.296875, 79.39910888671875, 78.39813232421875, 99.20654296875, 97.711181640625, 84.38720703125, 88.09661865234375, 88.38348388671875, 95.23162841796875, 97.2930908203125, 97.3114013671875, 98.406982421875, 93.13812255859375, 82.073974609375, 66.259765625, 91.7877197265625, 98.0316162109375, 95.758056640625, 96.66900634765625, 89.82086181640625, 91.60614013671875, 93.4661865234375, 94.1314697265625, 92.2149658203125, 91.54205322265625, 96.0906982421875, 99.21875, 98.931884765625, 95.88623046875, 99.1455078125, 99.01580810546875, 98.7335205078125, 42.41180419921875, 8.9508056640625, 9.8846435546875, 9.15069580078125, 7.4676513671875, 48.30780029296875, 63.22784423828125, 78.1280517578125, 78.118896484375, 78.25469970703125, 78.5797119140625, 78.59344482421875, 69.21844482421875, 18.41583251953125, 46.60797119140625, 81.6864013671875, 81.268310546875, 81.7535400390625, 81.65283203125, 98.90899658203125, 81.549072265625, 81.1187744140625, 81.6925048828125, 98.431396484375, 38.2354736328125, 11.4044189453125, 97.760009765625, 99.2767333984375, 10.6964111328125, 8.92333984375, 12.14447021484375, 51.739501953125, 98.03924560546875, 52.0477294921875, 53.4881591796875, 55.56182861328125, 53.03955078125, 97.6959228515625, 97.7630615234375, 68.30596923828125, 68.75457763671875, 68.07861328125, 69.989013671875, 82.44781494140625, 55.6121826171875, 55.41229248046875, 54.9713134765625, 57.36541748046875, 57.53021240234375, 57.00225830078125, 57.135009765625, 57.0770263671875, 56.45599365234375, 54.6783447265625, 50.58441162109375, 44.54803466796875, 36.86370849609375, 35.53009033203125, 34.3536376953125, 33.88519287109375, 28.83758544921875, 28.81927490234375, 28.7017822265625, 48.53057861328125, 47.98431396484375, 45.4010009765625, 99.49798583984375, 36.66534423828125, 46.246337890625, 49.371337890625, 46.0784912109375, 49.31793212890625, 50.0, 64.8712158203125, 62.2467041015625, 63.1988525390625, 84.89227294921875, 84.8785400390625, 99.6063232421875, 22.61505126953125, 19.10858154296875, 86.6302490234375, 68.98651123046875, 27.5482177734375, 28.96728515625, 29.60205078125, 29.9713134765625, 30.3924560546875, 30.97991943359375, 32.11822509765625, 32.720947265625, 33.6944580078125, 77.02789306640625, 97.9644775390625, 66.43524169921875, 65.51513671875, 97.54791259765625, 62.56561279296875, 98.22845458984375, 59.7869873046875, 60.5621337890625, 60.3057861328125, 59.62066650390625, 60.03265380859375, 56.87103271484375, 58.56170654296875, 64.0777587890625, 64.06707763671875, 64.60113525390625, 64.9139404296875, 63.19580078125, 59.67254638671875, 59.17205810546875, 97.81646728515625, 56.22100830078125, 54.89044189453125, 97.8973388671875, 98.42987060546875]"
test,test,254,254,0,236,18,67.69424050541248,"[83.1085205078125, 83.343505859375, 86.24725341796875, 85.772705078125, 79.59747314453125, 78.4576416015625, 73.20709228515625, 70.4071044921875, 68.31817626953125, 66.400146484375, 65.1397705078125, 62.00103759765625, 61.24114990234375, 59.77630615234375, 53.14483642578125, 52.73284912109375, 51.458740234375, 15.8843994140625, 15.728759765625, 98.40545654296875, 36.61956787109375, 43.8690185546875, 97.3907470703125, 46.282958984375, 45.819091796875, 98.04229736328125, 48.8800048828125, 53.0029296875, 92.401123046875, 91.94488525390625, 72.38616943359375, 98.41156005859375, 95.3582763671875, 78.5919189453125, 81.95953369140625, 87.158203125, 77.6031494140625, 85.45379638671875, 71.0662841796875, 78.30810546875, 78.2470703125, 78.45611572265625, 80.25665283203125, 79.7637939453125, 79.3914794921875, 81.1676025390625, 82.4005126953125, 84.3902587890625, 81.8939208984375, 83.57696533203125, 78.2073974609375, 95.1416015625, 91.12701416015625, 95.51544189453125, 97.96142578125, 65.20538330078125, 68.719482421875, 98.03619384765625, 97.2747802734375, 96.1578369140625, 96.33331298828125, 94.87762451171875, 92.694091796875, 98.53668212890625, 89.41192626953125, 92.156982421875, 91.3299560546875, 90.68756103515625, 92.09442138671875, 92.5506591796875, 92.9595947265625, 89.64080810546875, 93.57147216796875, 90.228271484375, 91.16363525390625, 90.42205810546875, 90.8843994140625, 95.843505859375, 98.8311767578125, 97.2076416015625, 87.5640869140625, 89.276123046875, 99.05853271484375, 99.02801513671875, 91.8975830078125, 97.31597900390625, 99.5819091796875, 98.419189453125, 97.406005859375, 98.06365966796875, 98.35052490234375, 48.6724853515625, 49.12872314453125, 61.1785888671875, 36.10076904296875, 24.18670654296875, 99.7344970703125, 4.400634765625, 98.7518310546875, 53.06243896484375, 62.8997802734375, 64.09759521484375, 63.33160400390625, 78.61785888671875, 32.574462890625, 14.9078369140625, 10.44158935546875, 7.0037841796875, 4.26483154296875, 4.92706298828125, 38.2171630859375, 48.36883544921875, 63.421630859375, 81.66046142578125, 81.8634033203125, 81.4453125, 72.59063720703125, 66.11175537109375, 48.76861572265625, 46.37451171875, 40.06500244140625, 28.07464599609375, 97.08709716796875, 8.77685546875, 18.0450439453125, 13.6688232421875, 97.63336181640625, 51.8707275390625, 53.96575927734375, 53.19671630859375, 54.0283203125, 55.0537109375, 69.6197509765625, 68.68896484375, 69.2169189453125, 69.378662109375, 81.1737060546875, 68.83392333984375, 78.59344482421875, 79.26177978515625, 57.42340087890625, 55.877685546875, 49.4842529296875, 57.8826904296875, 57.58056640625, 56.19354248046875, 99.6826171875, 53.59649658203125, 53.16619873046875, 52.69927978515625, 51.59912109375, 99.0447998046875, 50.2197265625, 99.49798583984375, 45.526123046875, 41.30859375, 49.0020751953125, 99.41558837890625, 36.53564453125, 36.75994873046875, 36.64398193359375, 11.8316650390625, 51.0528564453125, 50.567626953125, 48.71368408203125, 49.346923828125, 48.1536865234375, 49.2095947265625, 50.98876953125, 99.22027587890625, 50.88348388671875, 66.619873046875, 66.19415283203125, 67.6727294921875, 99.41558837890625, 84.5916748046875, 86.46392822265625, 84.820556640625, 85.14251708984375, 85.7818603515625, 85.92071533203125, 84.4818115234375, 84.84649658203125, 18.93310546875, 19.12384033203125, 69.20013427734375, 82.46002197265625, 62.1307373046875, 64.36309814453125, 60.91156005859375, 68.7164306640625, 98.272705078125, 70.037841796875, 79.91180419921875, 80.401611328125, 28.424072265625, 30.62744140625, 31.939697265625, 36.15570068359375, 64.83917236328125, 69.3359375, 72.53265380859375, 72.37091064453125, 72.45330810546875, 78.363037109375, 74.59716796875, 69.70367431640625, 69.7540283203125, 67.7520751953125, 66.40472412109375, 61.016845703125, 60.80169677734375, 60.81085205078125, 60.3790283203125, 59.95330810546875, 60.26458740234375, 59.91363525390625, 59.93194580078125, 57.64923095703125, 59.67559814453125, 60.98785400390625, 61.09771728515625, 64.35699462890625, 66.51458740234375, 63.88702392578125, 61.4990234375, 60.2783203125, 59.0362548828125, 57.9132080078125, 22.23052978515625, 97.77069091796875, 3.24859619140625, 0.25482177734375, 91.11785888671875, 96.9451904296875, 92.98858642578125]"
